Constituency,Predicted Winning Serial Number,Predicted Winning Name of Candidate
NA-226,1088,Sabir Hussain
NA-227,1099,Salahuddin son of Shelikh Rahimuddin
NA-228,1115,Lal bux
NA-230,1123,Mirza Ali Mehdi Baig
NA-231,1131,Abdul Rehman Mallah
NA-232,1138,Mumtaz Ali Memon
NA-233,1142,Syed Jala mehmood
NA-234,1149,Hammeda Khatomm
NA-235,1163,Muhammad channa
NA-236,1178,Mushtaq Ahmed Ishtiaq Dhool
NA-237,1193,M Mureed
NA-238,1205,Shahi Syed
NA-239,1229,M Akram
NA-240,1240,Fakhar Manzoor
NA-241,1264,Nusrat Aqeel
NA-242,1283,Norr M
NA-243,1298,Muzammil Iqbal hashmi
NA-244,1320,Yasha ullah Khan Afghan
NA-245,1334,M Shafiq Ahmed
NA-246,1344,Abdi
NA-247,1359,Arf Ur Rehman Alvi
NA-248,1375,Asghar Mehmood
NA-249,1393,Abdul Sattar
NA-250,1413,Mehmood Khan
NA-251,1425,M Mumtaz Hussain Ansari
NA-252,1442,M Furqan
NA-253,1455,M Ashraf Jabbar
NA-254,1474,M Aslam Khan
NA-255,1492,M Kamran Khan
NA-256,1507,M Adil Siddique
NA-52,1519,Tariq Fazal Chaudhry
NA-53,1533,Shahid Khagan Abbasi
NA-54,1558,Anjum Aqeel Khan
NA-55,1588,SHEIKH AFTAB AHMED
NA-56,1598,Malik Sohail Khan
NA-57,1603,SHAHID KHAGAN ABBASI
NA-58,1609,Raja Muhammad Javaid Ikhlas
NA-59,1620,Raja Qamar Ul Islam
NA-60,1632,Muhammad Hanif Abbasi
NA-61,1635,Ibrar Ahmed
NA-62,1656,DANYAL CHAUDHRY
NA-63,1673, Mumtaz Khan
NA-64,1681,TAHIR IQBAL
NA-65,1691,Muhammad Faez Malik
NA-66,1698,CHAUDHARY NADEEM KHADIM
NA-67,1708,Raja Matloob Mehdi
NA-68,1726,Nawabzada Ghazanfar Ali Gul
NA-69,1732,Ch. Mubasher Hussain
NA-70,1740,Jaffar Iqbal
NA-71,1750,Choudary Abid Raza
NA-72,1764,CHAUDHARY ARMAGHAN SUBHANI
NA-73,1775,Khawaja Muhammad Asif
NA-74,1785,Ali Zahid
NA-75,1797,Syed Iftikhar Ul Hassain
NA-76,1807,Rana Shamim Ahmed Khan
NA-77,1823,Mehnaz Akbar Aziz
NA-78,1826,Ahsan iqbal chaudhary
NA-79,1850,NISAR AHMED CHEEMA
NA-80,1852,CH MEHMOOD BASHIR VIRK
NA-81,1870,Khurram Dastgir Khan
NA-82,1889,Usman Ibrahim S/o Muhammad Ibrahim (Late)
NA-83,1902,ZULIFIQAR AHMAD
NA-84,1910,Azhar Qayyum Nahra
NA-85,1931,Mushahid Raza
NA-86,1941,Nasir Iqbal Bosal
NA-87,1948,Saira Tarar
NA-88,1962,MUKHTAR AHMAD MALIK
NA-89,1968,Mohsin Nawaz Ranjha
NA-90,1975,Ch Muhammad Hamid Hameed
NA-91,1990,Zulfiqar Ali Bhatti
NA-92,2000,Syed Javed Husnain
NA-93,2015,Malik Mazhar Iqbal Awan
NA-94,2022,Gul Asghar Khan
NA-95,2028,OBAID ULLAH KHAN
NA-96,2039,Muhammad Humair Hayat Khan Niazi
NA-97,2044,Abdul Majeed Khan
NA-98,2060,NAEEM ULLAH KHAN SHAHANI
NA-99,2068,GHULAM MUHAMMAD
NA-100,2073,ZULFIQARAR ALI SHAH
NA-101,2085,Iftikhar Ali
NA-102,2111,Muhammad Tallah Badar
NA-103,2117,Ali Gohar Khan
NA-104,2124,Ch Muhammad Shahbaz Babar
NA-105,2147,Mian Muhammad Farooq
NA-106,2153,Rana Sana Ullah Khan
NA-107,2159,Haji Muhammad Akram Ansari
NA-108,2171,ABID SHER ALI
NA-109,2184,M1AN ABDUL MANNAN
NA-110,2190,Muhammad Afzal Khan
NA-111,2199,Chaudhary Khalid Javed
NA-112,2218,MUHAMMAD JUNAID ANWAR CHAUDHRY
NA-113,2225,Chaudhary Asad ur Rehman
NA-114,2247,NAVEED MUKHTAR AHMED KHAN
NA-115,2257,MUHAMMAD SALEEM TAIIIR
NA-116,2268,Muhammad Ramzan
NA-117,2275,CH.MUHAMMAD BARJEES TAHIR
NA-118,2289,Shezra Mansab Ali Khan Kharal
NA-119,2294,RANA AFZAAL HUSSAIN
NA-120,2302,Rana Tanveer Hussain
NA-121,2309,Javed Latif
NA-122,2332,Sardar Muhammad Arfan Dogar
NA-123,2356,Humayun Akhtar Khan
NA-124,2363,Muhammad Nauman Qaiser
NA-125,2377,Yasmin Raashid
NA-126,2382,Waqas Ahmed
NA-127,2392,MIAN AAMIR ABBAS
NA-129,2417,Humayun Akhtar Khan
NA-130,2427,Haroon Khawaja
NA-131,2443,Humayun Akhtar Khan
NA-132,2458,Yasir Tufail
NA-I33,2472,Waqif Tehmasab Kiyani
NA-I34,2483,Malik Zaheer Abbas
NA-135,2491,MALIK KARAMAT ALI
NA-136,2506, NIZAM DIN
NA-137,2512,Saad Waseem
NA-138,2532,RASHEED AHMAD KHAN
NA-139,2544,RANA MUHAMMAD ISHAQ KHAN
NA-140,2559,RANA MUHAMMAD HAYAT KHAN
NA-141,2576,Nadeem Abbas
NA-142,2580,Riaz Ul Haq
NA-143,2593,RAO MUHAMMAD AJMAL KHAN
NA-144,2610,Muhammad Jamil Ashraf
NA-145,2617,Ahmad Raza Maneka
NA-146,2632,RANA ZAHID HUSSAIN KHAN
NA-147,2650,SYED IMRAN AHMAD SHAH
NA-148,2659,Chaudry Muhammad Ashraf
NA-149,2679,MUHAMMAD TUFAIL
NA-150,2683,Saeed Ahmad Sargana
NA-151,2693,Muhammad Khan Daha
NA-152,2696,Pir M Aslam Bodla Siddiqui
NA-153,2703,Chaudhry lftikhar Nazir
NA-154,2721,"MIAN MUHAMMAD SULEMAN
ALI QURESHI"
NA-155,2730,Muhammad Tariq Rasheed
NA-156,2745,Amir Saeed Ansari
NA-157,2754,ABDUL GHAFAR
NA-158,2760,Syed Javed Ali Shah
NA-159,2773,Muhammad Zulqamain Bukhari
NA-160,2780,ABDUL REHMAN KHAN KANJU
NA-162,2800,Choudhary Faqir Ahmad
NA-163,2808,Sajid Mehdi
NA-164,2818,Begum Tehmina Doultana
NA-165,2835,Saeed Ahmad Khan Manais
NA-166,2845,Muhammad Abdul Ghafar Wattoo
NA-167,2851,Alam Dad Lalaika
NA-168,2861,Ehsan UI Haq Bajwa
NA-169,2880,Noor Ul Hassan Tanvir
NA-170,2890,MEHMOOD UL HASSAN
NA-171,2899,Mian Riaz Hussain Pirzada
NA-172,2903,Saud Majeed
NA-173,2912,MIAN NAJEEB UD DIN AWAISI
NA-174,2921,MALIK KHALID MEHMOOD BABAR
NA-175,2922,Khawaja (ihulam Rasool Kureja
NA-176,2937,Sheikh Fayyaz ud Din
NA-177,2953,Makhdoom Moeen-ud-Din Ali
NA-178,2958,MUHAMMAD TARIQ
NA-179,2969,Mian Imtiaz Ahmad
NA-180,2978,MUHAMMAD ARSHAD KHAN LEGHARI
NA-181,2983,Ihsan-ul-Haq Ahsan
NA-182,2998,Hammad Nawaz Khan
NA-183,3023,Muhammad Aril Khan Baloch
NA-184,3029,Syed Haroon Ahmad Sultan
NA-185,3046,Muhammad Masood Saeedi
NA-186,3050,Syed Haroon Ahmad Sultan
NA-187,3064,Mahboob ul Hassan
NA-188,3072,Muhammad Bilal
NA-189,3084,Shamoona Ambreen
NA-190,3094,GHULAM MUSTAFA LASHARI
NA-191,3103,Sardar Awais Ahmed Khan Leghari
NA-192,3114,MIAN MUHAMMAD SHEHBAZ SHARIF
NA-193,3119,SHAZIA ABID
NA-194,3135,SOHAIL ANWAR
NA-195,3144,Ghulam Muhayu-Din Alias Shabab
NA-257,3150,Abdul Wasay
NA-258,3168,Syed Qurban Ali Gharsheen
NA-259,3177,Babar Marghzani
NA-260,3224,Mir Sardar Khan Rind
NA-261,3239,Mir Khan Muhammad Jamali
NA-262,3248,Kamal Uddin
NA-263,3263,Salahuddin
NA-264,3276,Saifullah Khan
NA-265,3299,Qasim Khan Soori
NA-266,3319,Zain ul Abideen Khan Khilji
NA-267,3347,Mir Taj Muhammmad
NA-268,3356,Sardar Aurangzaib
NA-269,3384,Muhammad Akhtar Mengal
NA-270,3404,Meer Nazeer Ahmed Baloch
NA-272,3424,Ali Ahmed
