Constituency,Predicted Winning Serial Number,Predicted Winning Name of Candidate,Party
NA-243,1298,Muzammil Iqbal hashmi,Allah-o-Akbar Tehreek
NA-244,1320,Yasha ullah Khan Afghan,TLP
NA-245,1334,M Shafiq Ahmed,Mohajir Qumi Movement Pakistan
NA-246,1344,Abdi,IND
NA-247,1359,Arf Ur Rehman Alvi,PTI
NA-248,1375,Asghar Mehmood,TLP
NA-249,1393,Abdul Sattar,GDA
NA-250,1413,Mehmood Khan,PKMAP
NA-251,1425,M Mumtaz Hussain Ansari,TLP
NA-252,1442,M Furqan,TLP
NA-253,1455,M Ashraf Jabbar,PTI
NA-254,1474,M Aslam Khan,PTI
NA-255,1492,M Kamran Khan,IND
NA-256,1507,M Adil Siddique,PSP
NA-52,1519,Tariq Fazal Chaudhry,PML-N
NA-53,1533,Shahid Khagan Abbasi,PML-N
NA-54,1558,Anjum Aqeel Khan,PML-N
NA-55,1588,SHEIKH AFTAB AHMED,PML-N
NA-56,1598,Malik Sohail Khan,PML-N
NA-57,1603,SHAHID KHAGAN ABBASI,PML-N
NA-58,1609,Raja Muhammad Javaid Ikhlas,PML-N
NA-59,1620,Raja Qamar Ul Islam,PML-N
NA-60,1632,Muhammad Hanif Abbasi,PML-N
NA-61,1635,Ibrar Ahmed,PML-N
NA-62,1656,DANYAL CHAUDHRY,PML-N
NA-63,1673, Mumtaz Khan,PML-N
NA-64,1681,TAHIR IQBAL,PML-N
NA-65,1691,Muhammad Faez Malik,PML-N
NA-66,1698,CHAUDHARY NADEEM KHADIM,PML-N
NA-67,1708,Raja Matloob Mehdi,PML-N
NA-68,1726,Nawabzada Ghazanfar Ali Gul,PML-N
NA-69,1732,Ch. Mubasher Hussain,PML-N
NA-70,1740,Jaffar Iqbal,PML-N
NA-71,1750,Choudary Abid Raza,PML-N
NA-72,1764,CHAUDHARY ARMAGHAN SUBHANI,PML-N
NA-73,1775,Khawaja Muhammad Asif,PML-N
NA-74,1785,Ali Zahid,PML-N
NA-75,1797,Syed Iftikhar Ul Hassain,PML-N
NA-76,1807,Rana Shamim Ahmed Khan,PML-N
NA-77,1823,Mehnaz Akbar Aziz,PML-N
NA-78,1826,Ahsan iqbal chaudhary,PML-N
NA-79,1850,NISAR AHMED CHEEMA,PML-N
NA-80,1852,CH MEHMOOD BASHIR VIRK,PML-N
NA-81,1870,Khurram Dastgir Khan,PML-N
NA-82,1889,Usman Ibrahim S/o Muhammad Ibrahim (Late),PML-N
NA-83,1902,ZULIFIQAR AHMAD,PML-N
NA-84,1910,Azhar Qayyum Nahra,PML-N
NA-85,1931,Mushahid Raza,PML-N
NA-86,1941,Nasir Iqbal Bosal,PML-N
NA-87,1948,Saira Tarar,PML-N
NA-88,1962,MUKHTAR AHMAD MALIK,PML-N
NA-89,1968,Mohsin Nawaz Ranjha,PML-N
NA-90,1975,Ch Muhammad Hamid Hameed,PML-N
NA-91,1990,Zulfiqar Ali Bhatti,PML-N
NA-92,2000,Syed Javed Husnain,PML-N
NA-93,2015,Malik Mazhar Iqbal Awan,IND
NA-94,2022,Gul Asghar Khan,IND
NA-95,2028,OBAID ULLAH KHAN,PML-N
NA-96,2039,Muhammad Humair Hayat Khan Niazi,PML-N
NA-97,2044,Abdul Majeed Khan,PML-N
NA-98,2060,NAEEM ULLAH KHAN SHAHANI,IND
NA-99,2068,GHULAM MUHAMMAD,PTI
NA-100,2073,ZULFIQARAR ALI SHAH,PTI
NA-101,2085,Iftikhar Ali,TLP
NA-102,2111,Muhammad Tallah Badar,PML-N
NA-103,2117,Ali Gohar Khan,PML-N
NA-104,2124,Ch Muhammad Shahbaz Babar,PML-N
NA-105,2147,Mian Muhammad Farooq,PML-N
NA-106,2153,Rana Sana Ullah Khan,PML-N
NA-107,2159,Haji Muhammad Akram Ansari,PML-N
NA-108,2171,ABID SHER ALI,PML-N
NA-109,2184,M1AN ABDUL MANNAN,PML-N
NA-110,2190,Muhammad Afzal Khan,PML-N
NA-111,2199,Chaudhary Khalid Javed,PML-N
NA-112,2218,MUHAMMAD JUNAID ANWAR CHAUDHRY,PML-N
NA-113,2225,Chaudhary Asad ur Rehman,PML-N
NA-114,2247,NAVEED MUKHTAR AHMED KHAN,IND
NA-115,2257,MUHAMMAD SALEEM TAIIIR,PML-N
NA-116,2268,Muhammad Ramzan,TLP
NA-117,2275,CH.MUHAMMAD BARJEES TAHIR,PML-N
NA-118,2289,Shezra Mansab Ali Khan Kharal,PML-N
NA-119,2294,RANA AFZAAL HUSSAIN,PML-N
NA-120,2302,Rana Tanveer Hussain,PML-N
NA-121,2309,Javed Latif,PML-N
NA-122,2332,Sardar Muhammad Arfan Dogar,PML-N
NA-123,2356,Humayun Akhtar Khan,IND
NA-124,2363,Muhammad Nauman Qaiser,PTI
NA-125,2377,Yasmin Raashid,PTI
NA-126,2382,Waqas Ahmed,TLP
NA-127,2392,MIAN AAMIR ABBAS,Allah O Akbar Tehreek
NA-129,2417,Humayun Akhtar Khan,IND
NA-130,2427,Haroon Khawaja,Pakistan Freedom Movement
NA-131,2443,Humayun Akhtar Khan,IND
NA-132,2458,Yasir Tufail,IND
NA-I33,2472,Waqif Tehmasab Kiyani,APML
NA-I34,2483,Malik Zaheer Abbas,PTI
NA-135,2491,MALIK KARAMAT ALI,PTI
NA-136,2506, NIZAM DIN,MMA
NA-137,2512,Saad Waseem,PML-N
NA-138,2532,RASHEED AHMAD KHAN,PML-N
NA-139,2544,RANA MUHAMMAD ISHAQ KHAN,PML-N
NA-140,2559,RANA MUHAMMAD HAYAT KHAN,PML-N
NA-141,2576,Nadeem Abbas,PML-N
NA-142,2580,Riaz Ul Haq,PML-N
NA-143,2593,RAO MUHAMMAD AJMAL KHAN,PML-N
NA-144,2610,Muhammad Jamil Ashraf,TLP
NA-145,2617,Ahmad Raza Maneka,PML-N
NA-146,2632,RANA ZAHID HUSSAIN KHAN,PML-N
NA-147,2650,SYED IMRAN AHMAD SHAH,PML-N
NA-148,2659,Chaudry Muhammad Ashraf,PML-N
NA-149,2679,MUHAMMAD TUFAIL,PML-N
NA-150,2683,Saeed Ahmad Sargana,PML-N
NA-151,2693,Muhammad Khan Daha,PML-N
NA-152,2696,Pir M Aslam Bodla Siddiqui,PML-N
NA-153,2703,Chaudhry lftikhar Nazir,PML-N
NA-154,2721,"MIAN MUHAMMAD SULEMAN
ALI QURESHI",PML-N
NA-155,2730,Muhammad Tariq Rasheed,PML-N
NA-156,2745,Amir Saeed Ansari,PML-N
NA-157,2754,ABDUL GHAFAR,PML-N
NA-158,2760,Syed Javed Ali Shah,PML-N
NA-159,2773,Muhammad Zulqamain Bukhari,PML-N
NA-160,2780,ABDUL REHMAN KHAN KANJU,PML-N
NA-162,2800,Choudhary Faqir Ahmad,PML-N
NA-163,2808,Sajid Mehdi,PML-N
NA-164,2818,Begum Tehmina Doultana,PML-N
NA-165,2835,Saeed Ahmad Khan Manais,PML-N
NA-166,2845,Muhammad Abdul Ghafar Wattoo,IND
NA-167,2851,Alam Dad Lalaika,PML-N
NA-168,2861,Ehsan UI Haq Bajwa,PML-N
NA-169,2880,Noor Ul Hassan Tanvir,PML-N
NA-170,2890,MEHMOOD UL HASSAN,TLP
NA-171,2899,Mian Riaz Hussain Pirzada,PML-N
NA-172,2903,Saud Majeed,PML-N
NA-173,2912,MIAN NAJEEB UD DIN AWAISI,PML-N
NA-174,2921,MALIK KHALID MEHMOOD BABAR,IND
NA-175,2922,Khawaja (ihulam Rasool Kureja,PPPP
NA-176,2937,Sheikh Fayyaz ud Din,PML-N
NA-177,2953,Makhdoom Moeen-ud-Din Ali,PML-N
NA-178,2958,MUHAMMAD TARIQ,PML-N
NA-179,2969,Mian Imtiaz Ahmad,PML-N
NA-180,2978,MUHAMMAD ARSHAD KHAN LEGHARI,PML-N
NA-181,2983,Ihsan-ul-Haq Ahsan,PPPP
NA-182,2998,Hammad Nawaz Khan,PML-N
NA-183,3023,Muhammad Aril Khan Baloch,PML-N
NA-184,3029,Syed Haroon Ahmad Sultan,PML-N
NA-185,3046,Muhammad Masood Saeedi,TLP
NA-186,3050,Syed Haroon Ahmad Sultan,PML-N
NA-187,3064,Mahboob ul Hassan,IND
NA-188,3072,Muhammad Bilal,MMA
NA-189,3084,Shamoona Ambreen,PML-N
NA-190,3094,GHULAM MUSTAFA LASHARI,TLP
NA-191,3103,Sardar Awais Ahmed Khan Leghari,PML-N
NA-192,3114,MIAN MUHAMMAD SHEHBAZ SHARIF,PML-N
NA-193,3119,SHAZIA ABID,PPPP
NA-194,3135,SOHAIL ANWAR,TLP
NA-195,3144,Ghulam Muhayu-Din Alias Shabab,IND
NA-257,3150,Abdul Wasay,MMA
NA-258,3168,Syed Qurban Ali Gharsheen,PTI
NA-259,3177,Babar Marghzani,PTI
NA-260,3224,Mir Sardar Khan Rind,PTI
NA-261,3239,Mir Khan Muhammad Jamali,PTI
NA-262,3248,Kamal Uddin,MMA
NA-263,3263,Salahuddin,MMA
NA-264,3276,Saifullah Khan,PTI
NA-265,3299,Qasim Khan Soori,PTI
NA-266,3319,Zain ul Abideen Khan Khilji,PTI
NA-267,3347,Mir Taj Muhammmad,PTI
NA-268,3356,Sardar Aurangzaib,PTI
NA-269,3384,Muhammad Akhtar Mengal,BNP
NA-270,3404,Meer Nazeer Ahmed Baloch,BNP
NA-272,3424,Ali Ahmed,PTI
